,S&P 500,S&P 500 Consumer Staples (Sector),S&P 500 Performance (%),S&P 500 Consumer Staples (Sector) Performance (%),S&P 500 Consumer Staples (Sector) Outperform/Underperform,overall,food and beverages,food,nondurables,household furnishings and operations,household furnishings and supplies,tobacco and smoking products,domestically produced farm food,footwear,infants' and toddlers' apparel,men's apparel,women's apparel
2018-04-23,2670.29,517.080017,-1.5822528213709108,-1.9363085637861377,UNDERPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-24,2634.56,513.77002,-3.7290662535034325,-3.962830093130576,UNDERPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-25,2639.4,514.47998,-4.363328043133253,-4.125827439583207,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-26,2666.94,517.289978,-4.210590588936736,-3.141915625304903,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-27,2669.91,520.27002,-4.435830255132734,-3.792671308133677,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-30,2648.05,517.25,-4.541063150229618,-4.021001945292502,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-05-01,2654.8,512.6900019999998,-5.12777446226087,-4.766411283354488,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-05-02,2635.67,502.820007,-5.912947870817575,-7.182540091283107,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-03,2629.73,502.630005,-6.028380198897231,-6.740762861257266,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-04,2663.42,509.64999400000005,-5.2011888024772635,-6.171178461457794,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-07,2672.63,506.420013,-5.0784551892655845,-6.159426613616947,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-08,2671.92,504.109985,-4.727062674496962,-6.469627127894428,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-09,2697.79,504.920013,-3.7132873871719596,-6.865385503779898,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-10,2723.07,507.89999400000005,-2.9893337323386615,-5.820613265689123,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-11,2727.72,507.339996,-3.28605871507589,-6.088144904508996,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-14,2730.13,507.26001,-4.073687576201568,-6.714237390284961,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-15,2711.45,505.070007,-4.44027010262773,-7.599564431666916,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-16,2722.46,508.940002,-3.4184516925522046,-7.042922009132424,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-17,2720.13,510.350006,-2.942624705630481,-6.7223509337602465,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-18,2712.97,507.119995,-3.6686562818459834,-7.729254522383744,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-21,2733.01,509.320007,-2.856015582790683,-6.505617583787027,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-22,2724.44,508.14001500000006,-3.635373264195918,-7.723313293435852,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-23,2733.29,510.589996,-3.769253789145699,-8.35352764746533,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-24,2727.76,509.880005,-4.302554027504913,-8.535144247527759,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-25,2721.33,510.529999,-4.797005370043205,-7.896444154352034,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-29,2689.86,509.619995,-5.8732547153305,-7.345191725930267,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-30,2724.01,516.330017,-4.540612143342737,-5.806691033239675,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-05-31,2705.27,508.01001,-4.518085046306764,-7.02938658815484,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-06-01,2734.62,507.880005,-3.093981778428234,-6.983389370462268,UNDERPERFORM,251.118,253.078,253.278,226.67,121.068,89.353,1060.067,247.343,136.213,123.426,120.43799999999999,115.22200000000001
2018-06-04,2746.87,512.0599980000002,-3.2778630684939247,-6.815164659147843,UNDERPERFORM,251.32299999999998,253.44400000000002,253.673,226.408,121.352,89.516,1062.895,248.112,137.181,121.4,121.52,112.916
