,S&P 500,S&P 500 Materials (Sector),S&P 500 Performance (%),S&P 500 Materials (Sector) Performance (%),S&P 500 Materials (Sector) Outperform/Underperform,overall,transportation,energy,energy commodities,fuels and utilities,transportation services
2007-08-17,1445.94,228.899994,1.8031020959917932,-9.439785358438558,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-20,1445.55,231.919998,3.1783985953091287,-7.090776922738096,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-21,1447.12,233.25,2.1796999117387417,-9.708507824141998,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-22,1464.07,240.589996,6.019044860422174,-3.9637585188606272,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-23,1462.5,238.369995,6.503058549373719,-1.682822045982535,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-24,1479.37,242.850006,10.959684980311257,5.8815856911336395,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-27,1466.79,241.059998,10.68526022683538,3.166992156689341,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-28,1432.36,233.940002,9.298740938573058,1.2639589427069664,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-29,1463.76,239.639999,9.350067234424042,2.5022482463567197,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-30,1457.64,239.27999900000003,7.808027690874009,-0.48658682245688034,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-31,1473.99,242.479996,10.775508977085702,1.0754489639545506,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-09-04,1489.42,244.559998,10.004726875240033,-0.08171147413205126,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-05,1472.29,241.940002,8.073845702121417,-1.6743867485522812,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-06,1478.55,244.490005,9.05289089179162,-0.6057366551058929,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-07,1453.55,238.860001,5.440499075115168,-4.218463304626208,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-10,1451.7,236.490005,4.0331943070903264,-7.21515993378924,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-11,1471.49,239.679993,6.56638808823744,-4.635343535309411,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-12,1471.56,239.419998,10.093966961934386,-1.1069838635196172,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-13,1483.95,242.539993,11.873798484677156,0.7267743888343503,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-14,1484.25,244.330002,11.02093633827257,0.8669471306931076,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-17,1476.65,243.979996,10.918732958258538,-1.1386186959371658,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-18,1519.78,254.320007,13.490101782500563,1.524952894211573,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-19,1529.03,257.77999900000003,13.357205343771783,2.709380471900258,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-20,1518.75,256.98999,11.08388616233058,1.3607308887162217,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-21,1525.75,258.440002,13.114037038684522,2.6900322063816207,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-24,1517.73,257.600006,12.425277224275732,2.535529236723799,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-25,1517.21,257.559998,12.487581369830526,0.6172365124968548,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-26,1525.42,259.899994,12.1607611596803,1.3176380574380753,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-27,1531.38,262.450012,14.066724765927031,2.9215733333333382,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-09-28,1526.75,260.98999,12.832659576826732,1.7941318814619134,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-10-01,1547.04,265.269989,12.774456917918076,2.1487107539858386,UNDERPERFORM,209.19,186.922,212.386,249.454,202.49099999999999,235.382
2007-10-02,1546.63,263.660004,11.969970100413384,0.26620513536601553,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-03,1539.59,260.369995,11.562875900349256,-1.3039699124670734,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-04,1542.84,261.040009,12.807089377632174,-0.8583285617164482,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-05,1557.59,265.609985,17.056582220451943,4.566745493617264,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-08,1552.58,263.839996,16.61784367629606,2.2873513042773297,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-09,1565.15,268.98999,17.968720557753915,6.602460217949013,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-10,1562.47,267.23999,17.153032915948117,3.3970437614075255,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-11,1554.41,265.730011,19.17214836622354,4.109859659342985,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-12,1561.8,268.51001,20.7543085118721,9.234779783042036,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-15,1548.71,265.890015,21.622937559389666,11.803047335710492,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-16,1538.53,261.910004,16.49793662211789,3.8789508610845402,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-17,1541.24,261.350006,17.76247927443324,4.0323242415718275,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-18,1540.08,264.200012,17.073615714416015,3.02203144369515,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-19,1500.63,258.200012,16.495877777260226,2.468456265869623,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-22,1506.33,256.640015,17.995456681811064,3.379663645518627,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-23,1519.59,260.540009,14.19135217999008,1.3734869704101982,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-24,1515.88,261.950012,16.748047627116037,8.760641675051485,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-25,1514.4,263.200012,13.90662725364984,9.872681571204156,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
2007-10-26,1535.28,267.589996,13.734554182593994,8.226489787664292,UNDERPERFORM,210.834,192.28900000000002,223.81400000000002,272.138,204.739,236.226
